nmc_category,nmc_condition,icd10_code,icd11_code,pathogen_notes,surveillance_artefacts,macod_note,reporting_timeframe
Cat 1,Acute flaccid paralysis,G83.9,8D60.Z,Code to aetiology: wild-type polio→A80; vaccine-assoc→A80.0; non-polio AFP→G83.9/8D60.Z,"⚠ AFP is a surveillance trigger not a final diagnosis. Coders leave G83.9 even when polio confirmed, inflating G-chapter and undercounting A80.",Polio deaths likely coded G83.9 in MACOD; AFP surveillance and MACOD counts will not reconcile without NHLS linkage.,Immediate ≤24 h
Cat 1,Acute rheumatic fever,I00,1B41.Z,ICD-10: without carditis→I00; with carditis→I01.x. ICD-11: without heart→1B40; WITH heart (fatal form)→1B41.Z; chorea→1B42. Rheumatic heart disease sequela→BA80.,"⚠ Fatal ARF involves carditis (1B41); 1B40 is the non-fatal, non-cardiac form — using 1B40 as CoD is clinically incorrect. Terminal RHD (BA80 / I05–I09) obscures ARF as underlying cause in MACOD.",ARF deaths undercounted; appear as valvular/cardiac disease (I05–I09/BA80). 1B41.Z is the correct ICD-11 CoD for fatal ARF.,Immediate ≤24 h
Cat 1,Anthrax,A22.9,1B97.Z,Pulmonary→A22.1/1B97.1; septicaemic→A22.7/1B97.3; cutaneous→A22.0/1B97.0; GI→A22.2/1B97.2; unspecified→A22.9/1B97.Z,⚠ Anthrax septicaemia (A22.7) mis-coded A41.9 when lab confirmation absent from death certificate.,Extremely rare in SA MACOD. Occupational anthrax in farm workers may appear as A41.9.,Immediate ≤24 h
Cat 1,Botulism,A05.1,1A11.Z,ICD-10: foodborne→A05.1; wound→A48.52; infant→A48.51. ICD-11: foodborne→1A11.0; other forms (wound/infant)→1A11.1; unspecified→1A11.Z. Primary CoD depends on form.,⚠ Botulism deaths present as respiratory failure (J96) or AFP (G83.9). Toxin aetiology invisible in MACOD without clinical notes on certificate.,Virtually absent from MACOD. J96 and G83.9 coded instead. Infant botulism may appear as P28.5 (respiratory failure of newborn).,Immediate ≤24 h
Cat 1,Cholera,A00.9,1A00.Z,V.cholerae O1 El Tor→A00.1/1A00.1; O139→A00.9/1A00.Z; unspecified→A00.9/1A00.Z,⚠ Dehydration deaths coded E86 or A09 (gastroenteritis NOS) rather than A00 when cholera not lab-confirmed on certificate.,SA cholera deaths (e.g. 2008–09 outbreak) likely under-coded as A09 or E86; NMC notification and MACOD counts diverge.,Immediate ≤24 h
Cat 1,Diphtheria,A36.9,1C17.Z,Pharyngeal→A36.0/1C17.0; laryngeal→A36.2/1C17.2; myocarditis→A36.81/1C17.3; unspecified→A36.9/1C17.Z,⚠ Diphtheria myocarditis (A36.81) coded I51.4 (myocarditis NOS) when aetiological link absent from certificate.,Rare in SA MACOD. Deaths appear as myocarditis or respiratory obstruction without diphtheria attribution.,Immediate ≤24 h
Cat 1,Enteric fever (typhoid / paratyphoid),A01.0,1A07.0,Typhoid→A01.0/1A07.0; Paratyphoid A→A01.1/1A08.0; B→A01.2/1A08.1; unspecified→A01.4/1A08.Z,⚠ Deaths coded R50.9 (fever NOS) or A09 when blood culture not on certificate. Intestinal perforation K63.1 may appear as UCoD.,R50.9 and A09 common proxy codes in MACOD for typhoid deaths without confirmed lab result.,Immediate ≤24 h
Cat 1,Food-borne disease outbreak,A05.9,1A1Z,"ICD-11: code to specific agent when known (1A11.0 botulism, 1A12 C.perfringens, 1A13 B.cereus); unspecified→1A1Z. NB: 5B51 is infant wasting (nutrition chapter) — do NOT use.","⚠ Outbreak is an epidemiological event, not a CoD. Individual deaths need pathogen code. A09/A05.9/1A1Z give no outbreak linkage in MACOD — artefact: outbreak deaths invisible in routine ICD analysis.","No MACOD field flags 'part of outbreak'. Outbreak deaths appear under A09, A05.9, or pathogen codes with no aggregation signal.",Immediate ≤24 h
Cat 1,Haemolytic uraemic syndrome (HUS),D59.3,3A21.2,"ICD-10 WHO: D59.3 billable. ICD-10-CM subcodes: D59.31 (STEC-HUS), D59.30 (unspec). ICD-11: 3A21.2. STEC UCoD should be A04.3 with D59.3/3A21.2 as complication.",⚠ STEC UCoD (A04.3) often not coded; D59.3 appears as UCoD — infectious aetiology disappears into haematology chapter. Sequencing reversed in practice.,HUS deaths in MACOD appear as D59.3 without A04.3 as UCoD — STEC burden underestimated in infectious disease chapter analyses.,Immediate ≤24 h
Cat 1,Listeriosis,A32.9,1C1A.Z,Neonatal→A32.1/1C1A.10; septicaemia→A32.7/1C1A.Y; meningoencephalitis→A32.12/1C1A.1; cutaneous→A32.0/1C1A.0; unspecified→A32.9/1C1A.Z,⚠ Neonatal listeria deaths coded P36.9 (neonatal sepsis NOS) when culture results not on death record. 2017–18 SA outbreak deaths may include P36.9 miscodes.,Neonatal listeria deaths significantly undercounted in MACOD. P36.9 is the dominant proxy; NHLS lab linkage needed to identify true burden.,Immediate ≤24 h
